,title,max_players,genres,publisher,sales_metric,price,review_raiting,console,age_raiting,year
1012,Mega Man Star Force 2: Zerker X Ninja,1,"Action,Role-Playing (RPG)",Capcom,0.24,17.95,55,Nintendo DS,T,2008
1013,Enemy Territory: Quake Wars,1,Action,Activision,0.24,16.95,60,PlayStation 3,T,2008
1014,Namco Museum: Virtual Arcade,1,"Action,Racing / Driving",Namco,0.24,17.95,63,X360,T,2008
1015,NASCAR 09,1,"Racing / Driving,Sports",EA,0.24,19.95,69,X360,T,2008
1016,Turning Point: Fall of Liberty,1,Action,,0.24,7.95,43,X360,M,2008
1017,Summer Athletics 2009,4,Sports,,0.23,19.95,56,Nintendo Wii,M,2008
1018,Unreal Tournament III,2,Action,Midway,0.23,14.95,82,X360,M,2008
1019,Shaun White Snowboarding,1,"Racing / Driving,Sports",Ubisoft,0.23,16.95,63,Nintendo DS,T,2008
1020,Dark Sector,1,Action,,0.23,14.95,72,PlayStation 3,T,2008
1021,The Last Remnant,1,Role-Playing (RPG),SquareEnix,0.23,14.95,66,X360,T,2008
1022,Dragon Ball Z: Burst Limit,2,Action,"Atari,Namco",0.22,19.95,71,PlayStation 3,M,2008
1023,NASCAR 09,1,"Racing / Driving,Sports",EA,0.22,22.95,65,PlayStation 3,E,2008
1024,Turning Point: Fall of Liberty,1,Action,,0.22,7.95,42,PlayStation 3,T,2008
1025,MX vs. ATV Untamed,1,Racing / Driving,THQ,0.22,24.95,70,Nintendo Wii,E,2008
1026,Crash: Mind over Mutant,1,Action,,0.22,24.95,60,X360,M,2008
1027,The Incredible Hulk,1,Action,Sega,0.22,17.95,55,X360,E,2008
1028,Silent Hill: Homecoming,1,Action,Konami,0.22,17.95,70,X360,T,2008
1029,TNA iMPACT!,4,Sports,Midway,0.21,12.95,64,PlayStation 3,M,2008
1030,The Incredible Hulk,1,Action,Sega,0.21,16.95,55,PlayStation 3,T,2008
1031,Kung Fu Panda,1,Action,Activision,0.21,19.95,76,PlayStation 3,M,2008
1032,Dark Sector,1,Action,,0.21,13.95,72,X360,M,2008
1033,Tales of Symphonia: Dawn of the New World,4,Role-Playing (RPG),Namco,0.2,24.95,68,Nintendo Wii,T,2008
1034,Valkyrie Profile: Covenant of the Plume,1,"Role-Playing (RPG),Strategy",SquareEnix,0.2,24.95,74,Nintendo DS,M,2008
1035,Spider-Man: Web of Shadows,1,Action,Activision,0.2,24.95,67,PlayStation 3,E,2008
1036,TV Show King,4,Strategy,,0.19,17.95,65,Nintendo Wii,T,2008
1037,AC/DC Live: Rock Band - Track Pack,4,"Action,Simulation",,0.19,14.95,63,X360,M,2008
1038,The Chronicles of Narnia: Prince Caspian,1,Role-Playing (RPG),Disney,0.19,10.95,54,Nintendo DS,M,2008
1039,Hot Shots Golf: Open Tee 2,1,Sports,Sony,0.19,14.95,82,Sony PSP,E,2008
1040,AC/DC Live: Rock Band - Track Pack,1,"Action,Simulation",,0.19,14.95,60,PlayStation 3,E,2008
1041,Harvest Moon: Magical Melody,4,"Role-Playing (RPG),Simulation",,0.18,23.95,69,Nintendo Wii,T,2008
1042,Dynasty Warriors 6,2,"Action,Strategy",,0.18,24.95,59,PlayStation 3,M,2008
1043,Order Up!,1,"Action,Simulation",,0.18,17.95,76,Nintendo Wii,T,2008
1044,NBA Ballers: Chosen One,4,Sports,Midway,0.17,9.95,55,X360,T,2008
1045,Age of Empires: Mythologies,1,Strategy,THQ,0.17,17.95,78,Nintendo DS,T,2008
1046,LocoRoco 2,1,"Action,Strategy",Sony,0.17,11.95,85,Sony PSP,M,2008
1047,Star Ocean: First Departure,1,"Action,Role-Playing (RPG)",SquareEnix,0.17,17.95,74,Sony PSP,T,2008
1048,Lost: Via Domus,1,"Action,Adventure",Ubisoft,0.17,16.95,54,PlayStation 3,T,2008
1049,Tetris Party,4,Strategy,,0.16,24.95,75,Nintendo Wii,T,2008
1050,Bully: Scholarship Edition,2,"Action,Adventure",Rockstar,0.16,17.95,83,Nintendo Wii,E,2008
1051,The Spiderwick Chronicles,2,"Action,Adventure",,0.16,16.95,62,Nintendo Wii,M,2008
1052,Dynasty Warriors 6,2,"Action,Strategy",,0.16,24.95,60,X360,M,2008
1053,Facebreaker,2,Sports,EA,0.16,12.95,54,X360,M,2008
1054,Ninja Gaiden: Dragon Sword,1,Action,,0.16,12.95,83,Nintendo DS,E,2008
1055,Condemned 2: Bloodshot,1,"Action,Adventure",Sega,0.16,14.95,82,PlayStation 3,T,2008
1056,Silent Hill: Homecoming,1,Action,Konami,0.16,17.95,71,PlayStation 3,E,2008
1057,Command & Conquer: Red Alert 3,1,Strategy,EA,0.16,14.95,77,X360,T,2008
1058,Viking: Battle for Asgard,1,Action,Sega,0.16,14.95,68,X360,M,2008
1059,Beijing 2008,4,Sports,Sega,0.15,14.95,60,X360,T,2008
1060,Don King Presents: Prizefighter,2,Sports,2K,0.15,14.95,56,X360,M,2008
1061,Bomberman,1,"Action,Strategy",,0.15,12.95,73,Sony PSP,M,2008
1062,Ferrari Challenge Trofeo Pirelli,1,Racing / Driving,,0.15,17.95,71,PlayStation 3,E,2008
1063,Command & Conquer 3: Kane's Wrath,1,Strategy,EA,0.15,17.95,75,X360,M,2008
1064,Lost: Via Domus,1,"Action,Adventure",Ubisoft,0.15,17.95,55,X360,M,2008
1065,NHL 2K9 ,1,Sports,2K,0.15,14.95,69,X360,T,2008
1066,Eternal Sonata,2,Role-Playing (RPG),Namco,0.14,24.95,80,PlayStation 3,M,2008
1067,Viva Pi$?ata: Trouble in Paradise,2,"Racing / Driving,Simulation,Strategy",Microsoft,0.14,17.95,82,X360,T,2008
1068,FlatOut: Head On,1,"Racing / Driving,Sports",,0.14,9.95,74,Sony PSP,E,2008
1069,Viking: Battle for Asgard,1,Action,Sega,0.14,16.95,65,PlayStation 3,M,2008
1070,Neopets Puzzle Adventure,1,"Role-Playing (RPG),Strategy",Capcom,0.14,14.95,52,Nintendo Wii,E,2008
1071,TNA iMPACT!,1,Sports,Midway,0.14,14.95,43,Nintendo Wii,E,2008
1072,Tomb Raider: Underworld,1,Action,Eidos,0.14,17.95,70,Nintendo Wii,T,2008
1073,The Club,4,Action,Sega,0.13,14.95,76,X360,T,2008
1074,The Chronicles of Narnia: Prince Caspian,2,"Action,Role-Playing (RPG)",Disney,0.13,14.95,56,X360,M,2008
1075,Cabela's Dangerous Hunts 2009,1,Sports,Activision,0.13,19.95,42,X360,M,2008
1076,Dark Messiah of Might and Magic: Elements,1,"Action,Role-Playing (RPG)",Ubisoft,0.13,17.95,52,X360,T,2008
1077,Fracture,1,Action,,0.13,14.95,63,X360,T,2008
1078,Bomberman Land,4,Action,,0.12,19.95,57,Nintendo Wii,T,2008
1079,Nitrobike,4,"Action,Racing / Driving,Sports",Ubisoft,0.12,14.95,49,Nintendo Wii,E,2008
1080,Culdcept Saga,4,Strategy,Namco,0.12,17.95,75,X360,T,2008
1081,Facebreaker,2,Sports,,0.12,14.95,53,PlayStation 3,E,2008
1082,MLB Power Pros 2008,2,Sports,2K,0.12,22.95,83,Nintendo Wii,E,2008
1083,Mushroom Men: The Spore Wars,2,Action,,0.12,17.95,72,Nintendo Wii,E,2008
1084,Dragon Quest V: Hand of the Heavenly Bride,1,Role-Playing (RPG),SquareEnix,0.12,29.95,84,Nintendo DS,T,2008
1085,Ninjatown,1,Strategy,,0.12,19.95,80,Nintendo DS,T,2008
1086,Super Dodgeball Brawlers,1,"Action,Sports",,0.12,19.95,65,Nintendo DS,T,2008
1087,Dokapon Kingdom,1,"Role-Playing (RPG),Strategy",,0.12,17.95,72,Nintendo Wii,M,2008
1088,Alone in the Dark,1,"Action,Adventure,Racing / Driving",Atari,0.12,14.95,58,X360,M,2008
1089,NBA 09: The Inside,4,Sports,Sony,0.11,14.95,63,PlayStation 3,M,2008
1090,Sega Superstars Tennis,4,Sports,Sega,0.11,16.95,67,PlayStation 3,M,2008
1091,Baja: Edge of Control,4,"Racing / Driving,Simulation,Sports",THQ,0.11,16.95,65,X360,T,2008
1092,Destroy All Humans! Big Willy Unleashed,2,Adventure,THQ,0.11,17.95,53,Nintendo Wii,T,2008
